id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
59a13ceb,2021-10-26,45616352,739445,NA,623575979,426352164,220873196,196602665,45821,14543,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-27,45710896,741460,NA,625385614,427987962,221172665,196811325,45003,14398,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-28,45797081,743242,NA,627085015,429611718,221461690,197022592,44195,14100,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-29,45885804,745262,NA,628647631,431416044,221780428,197263230,43513,12455,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-30,45915215,745586,NA,629707879,432241418,221942926,197382909,42766,12152,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-31,45934098,745743,NA,630324949,432682634,222040977,197453679,42513,12092,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-01,46058668,746894,NA,631386671,434188925,222321422,197651775,42623,12108,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-02,46135611,748410,NA,633035855,435706739,222598916,197841159,42291,11947,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-03,46220455,750290,NA,634939123,437292792,222905601,198035339,41982,11766,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-04,46303542,751413,NA,636701895,438952515,223251430,198232223,41357,11555,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-05,46395310,753734,NA,638301460,440891789,223701896,198464240,40945,11341,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-06,46427249,754136,NA,639424618,441943005,224094052,198585019,40176,11231,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-07,46449334,754268,NA,640262608,442506916,224322708,198657527,40472,11210,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-08,46575795,755489,NA,641517444,443990754,224791913,198832488,41349,11332,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-09,46659446,757205,NA,643391637,445649609,225311351,198999515,41731,11356,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-10,46757836,758841,NA,645226707,447446421,225884692,199171275,41806,11289,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-11,46822437,759563,NA,646964180,449064472,226431418,199324778,41718,11280,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-12,46951788,761624,NA,648459331,451077281,227068199,199524689,41633,11271,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-13,47013185,762092,NA,649578778,452265771,227604657,199628320,41372,11296,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-14,47036794,762234,NA,650356478,452850774,227844476,199689487,41872,11264,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-15,47185418,763425,NA,651619561,454422505,228300291,199858253,43286,11534,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-16,47275904,764871,NA,653480451,456125159,228784016,200026559,44010,11600,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-17,47390261,766489,NA,655449439,457907050,229286851,200200021,44366,11664,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-18,47500534,769820,NA,657347669,459716905,229789168,200372514,45095,11792,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-11-19,47620182,771811,NA,659019699,461818190,230368064,200569168,45157,11823,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
