date,deaths,people_vaccinated,people_fully_vaccinated,timepoint,people_vaccinated_change,deaths_change,people_fully_vaccinated_change
2022-01-17,851283,248759841,213084146,401,212081,774,141931
2022-01-18,854268,249010753,213275588,402,250912,2985,191442
2022-01-19,857644,249257365,213465176,403,246612,3376,189588
2022-01-20,860316,249493941,213644663,404,236576,2672,179487
2022-01-21,864182,249767751,213809264,405,273810,3866,164601
2022-01-22,865116,249938020,213893730,406,170269,934,84466
2022-01-23,865687,250027965,213958687,407,89945,571,64957
2022-01-24,867866,250229011,214121181,408,201046,2179,162494
2022-01-25,870838,250430463,214299017,409,201452,2972,177836
2022-01-26,874733,250628724,214480777,410,198261,3895,181760
2022-01-27,877824,250824465,214658744,411,195741,3091,177967
2022-01-28,881703,251052040,214872532,412,227575,3879,213788
2022-01-29,883009,251171015,214986516,413,118975,1306,113984
2022-01-30,883370,251242366,215054605,414,71351,361,68089
2022-01-31,885943,251400429,215215443,415,158063,2573,160838
2022-02-01,889525,251548803,215378039,416,148374,3582,162596
2022-02-02,893156,251692611,215534897,417,143808,3631,156858
2022-02-03,896178,251821044,215677039,418,128433,3022,142142
2022-02-04,900154,251972926,215864005,419,151882,3976,186966
2022-02-05,901022,252081096,215999147,420,108170,868,135142
2022-02-06,901400,252139748,216061149,421,58652,378,62002
2022-02-07,904139,252267820,216195450,422,128072,2739,134301
2022-02-08,907497,252393784,216343106,423,125964,3358,147656
2022-02-09,911067,252523947,216490671,424,130163,3570,147565
2022-02-10,914328,252652400,216632798,425,128453,3261,142127
2022-02-11,917135,252803115,216809341,426,150715,2807,176543
2022-02-12,917896,252892515,216913220,427,89400,761,103879
2022-02-13,918368,252934964,216960327,428,42449,472,47107
2022-02-14,920954,253023791,217059612,429,88827,2586,99285
2022-02-15,923804,253124550,217176757,430,100759,2850,117145
2022-02-16,927110,253227756,217295521,431,103206,3306,118764
2022-02-17,930297,253327169,217407138,432,99413,3187,111617
2022-02-18,932788,253451072,217551980,433,123903,2491,144842
2022-02-19,933480,253525221,217631297,434,74149,692,79317
2022-02-20,933894,253567361,217673905,435,42140,414,42608
2022-02-21,934654,253646868,217762852,436,79507,760,88947
2022-02-22,937380,253737491,217863099,437,90623,2726,100247
2022-02-23,940404,253824796,217957491,438,87305,3024,94392
2022-02-24,943312,253907580,218044267,439,82784,2908,86776
2022-02-25,946121,254003277,218151036,440,95697,2809,106769
2022-02-26,946686,254068181,218216309,441,64904,565,65273
2022-02-27,946883,254102085,218248519,442,33904,197,32210
2022-02-28,948855,254178133,218330536,443,76048,1972,82017
2022-03-01,950788,254246658,218405016,444,68525,1933,74480
2022-03-02,953136,254313106,218477293,445,66448,2348,72277
2022-03-03,955018,254377907,218547345,446,64801,1882,70052
2022-03-04,956910,254457195,218636995,447,79288,1892,89650
2022-03-05,957217,254506584,218689507,448,49389,307,52512
2022-03-06,957429,254532794,218714464,449,26210,212,24957
2022-03-07,959115,254589647,218770180,450,56853,1686,55716
2022-03-08,960690,254644752,218829339,451,55105,1575,59159
2022-03-09,962503,254700702,218889284,452,55950,1813,59945
2022-03-10,964062,254755409,218949557,453,54707,1559,60273
2022-03-11,965746,254819594,219024245,454,64185,1684,74688
2022-03-12,966218,254858813,219065832,455,39219,472,41587
2022-03-13,966361,254880482,219086931,456,21669,143,21099
2022-03-14,963926,254932186,219138987,457,51704,-2435,52056
2022-03-15,965449,254985011,219192348,458,52825,1523,53361
2022-03-16,967482,255039568,219245562,459,54557,2033,53214
2022-03-17,968690,255090393,219294552,460,50825,1208,48990
2022-03-18,969733,255153301,219357035,461,62908,1043,62483
2022-03-19,970065,255192370,219394313,462,39069,332,37278
2022-03-20,970148,255215101,219412342,463,22731,83,18029
2022-03-21,971107,255267138,219457842,464,52037,959,45500
2022-03-22,972104,255315419,219502329,465,48281,997,44487
2022-03-23,973459,255368147,219549440,466,52728,1355,47111
2022-03-24,974441,255421101,219593190,467,52954,982,43750
2022-03-25,975273,255483048,219649084,468,61947,832,55894
2022-03-26,975436,255517169,219679700,469,34121,163,30616
2022-03-27,975486,255535508,219694844,470,18339,50,15144
2022-03-28,976396,255585829,219733681,471,50321,910,38837
2022-03-29,977153,255632458,219774147,472,46629,757,40466
2022-03-30,978361,255692531,219832419,473,60073,1208,58272
2022-03-31,979236,255767644,219898973,474,75113,875,66554
2022-04-01,979881,255846364,219979788,475,78720,645,80815
2022-04-02,980018,255891389,220024279,476,45025,137,44491
2022-04-03,980057,255919851,220050252,477,28462,39,25973
2022-04-04,980682,255989185,220112537,478,69334,625,62285
2022-04-05,981146,256052109,220174374,479,62924,464,61837
2022-04-06,982263,256116661,220239170,480,64552,1117,64796
2022-04-07,982971,256180941,220302630,481,64280,708,63460
2022-04-08,983514,256253160,220378144,482,72219,543,75514
2022-04-09,983786,256296531,220420610,483,43371,272,42466
2022-04-10,983813,256323660,220445290,484,27129,27,24680
2022-04-11,984247,256386936,220507373,485,63276,434,62083
2022-04-12,984838,256451548,220571063,486,64612,591,63690
2022-04-13,985832,256516847,220633468,487,65299,994,62405
2022-04-14,986448,256582962,220696026,488,66115,616,62558
